PO,Debit Amount,Count
PO12156,1600,1
PO12158,16099.782,1
PO12163,361872,1
PO12193,1158477.94,1
PO12194,5917.933,1
PO12195,25104.57,1
PO12196,46680,1
PO12197,494700.8,1
PO12207,54915.786,1
PO12211,749888,1
PO12212,51163.2,1
PO12213,33280.671,1
PO12218,155090.649,1
PO12219,4369.737,1
PO12221,58747.453,1
PO12222,8872.083,1
PO12223,562302,1
PO12224,508793.407,1
PO1227,76857,1
PO12278,25262.844,1
PO12279,3958149.61,1
PO12281,16495.1,1
PO12282,403.61,1
PO12284,961422.5,1
PO12285,29502.488,1
PO12286,16505.88,1
PO12287,4518.6,1
PO12288,299714.5,1
PO12289,36556.8,1
PO12290,72930,1
PO12291,0,1
PO12292,111742.889,1
PO12294,69174.892,1
PO12295,739428.8,1
PO12297,155520,1
PO12298,129443,1
PO12299,68622.4,1
PO123,12095.4,1
PO12300,43867.189,1
PO12301,5813.654,1
PO12302,13577.446,1
PO12303,33937.645,1
PO12304,1265.742,1
PO12305,70594.56,1
PO12306,112739.62,1
PO12307,38862.182,1
PO12308,31089.741,1
PO12309,26520,1
PO12310,411988.32,1
PO12311,19072.364,1
PO12312,893576,1
PO12313,63961.8,1
PO12314,245723,1
PO12315,15747.702,1
PO12316,225156.774,1
PO12317,127773.8,1
PO12318,80079.56,1
PO12321,32674.866,1
PO12322,40960,1
PO12323,88290,1
PO12324,286436,1
PO12325,10260,1
PO12327,3110.033,1
PO12329,2659.2,1
PO1233,139860,1
PO12330,66101.126,1
PO12337,39000,1
PO12338,64963.2,1
PO12343,1041.304,1
PO12345,8652.324,1
PO12346,60690,1
PO1237,182734,1
PO12371,2133335.05,1
PO12372,271057,1
PO12375,39802.057,1
PO12376,17692,1
PO12379,13250,1
PO1238,84140.88,1
PO12380,2317.439,1
PO12388,30761.434,1
PO12389,263255,1
PO1239,195031.18,1
PO12390,7622.11,1
PO12391,59644.263,1
PO12392,42579,1
PO12393,2394,1
PO12394,7454.266,1
PO12395,24847.571,1
PO12396,3213.638,1
PO12397,496539.48,1
PO12398,6376.345,1
PO12399,46579.522,1
PO12400,770828.82,1
PO12401,49650,1
PO12402,98.192,1
PO12403,308400,1
PO12404,6190,1
PO12405,11007.998,1
PO12406,440200.71,1
PO12407,481458.86,1
PO12408,1391.25,1
PO12410,10893.364,1
PO12411,18111.6,1
PO12412,239147,1
PO12413,7147.829,1
PO12414,2457,1
PO12415,13479,1
PO12417,1385.454,1
PO12419,8812.589,1
PO12421,19079.509,1
PO12422,12793.876,1
PO12423,1395470,1
PO12424,90758.5,1
PO12425,216046.806,1
PO12428,31610.872,1
PO12429,30524.61,1
PO12430,1521316.14,1
PO12431,65020.16,1
PO12432,48380.72,1
PO12433,2109.355,1
PO12435,12220.8,1
PO12436,32813.76,1
PO12438,13098,1
PO12439,885,1
PO1244,166757.663,1
PO12441,23758.049,1
PO12443,13805.456,1
PO12446,146363.4,1
PO12447,33695,1
PO12448,1758,1
PO12450,302149.94,1
PO12451,135618,1
PO12452,9704.02,1
PO12453,8985,1
PO12455,726.6,1
PO12460,163193.7,1
PO12461,42891.25,1
PO12463,121380,1
PO12464,11471.949,1
PO12465,4129.342,1
PO12466,833839.6,1
PO12467,91331.446,1
PO12469,97333.3,1
PO12470,3336.848,1
PO12471,17510,1
PO12472,63600,1
PO12473,393745.443,1
PO12474,12800,1
PO12475,12800,1
PO12476,15589.5,1
PO12477,4215.15,1
PO12479,363532,1
PO12480,92500,1
PO12481,7585,1
PO12482,9547.154,1
PO12484,248659.92,1
PO12485,1925950.96,1
PO12489,156450,1
PO12497,174900,1
PO12498,46244.8,1
PO12499,57267,1
PO12503,511963.28,1
PO12507,15668.279,1
PO12508,397665.7,1
PO12659,1389.42,1
PO12660,436417.12,1
PO12663,401182.26,1
PO12664,135396.5,1
PO12665,44500,1
PO12668,34200,1
PO12670,66225.457,1
PO12672,9830,1
PO12673,117994,1
PO12674,53006,1
PO12675,0,1
PO12679,2234,1
PO12680,33282.537,1
PO12686,473696.89,1
PO12687,55730.112,1
PO12691,21925,1
PO12695,147000,1
PO12696,10404,1
PO12697,6360,1
PO12698,5845.779,1
PO12700,25200,1
PO12702,252000,1
PO12705,37310,1
PO12706,79704,1
PO12707,164610,1
PO1271,1995.069,1
PO12712,81200,1
PO12715,275730,1
PO12716,13972.367,1
PO12717,2535,1
PO12728,108602.67,1
PO12729,75874,1
PO1273,5883.605,1
PO12730,18714.4,1
PO12731,48585,1
PO12732,52289.28,1
PO12733,8061.81,1
PO12734,8138.885,1
PO12735,8897.599,1
PO12736,272120,1
PO12737,140800,1
PO12738,2511.6,1
PO12740,37478.12,1
PO12742,440636.82,1
PO12745,7692.3,1
PO12746,6869,1
PO12747,96505.4,1
PO12748,11022.959,1
PO12749,92285.509,1
PO12750,41284.844,1
PO12751,7394.96,1
PO12752,34190.487,1
PO12753,16564,1
PO12755,23168.175,1
PO12759,286394.24,1
PO1276,83400,1
PO12761,24702.132,1
PO12764,26512.79,1
PO12765,8902.041,1
PO12766,54482.4,1
PO12769,18152.96,1
PO12770,195917.2,1
PO12772,677817,1
PO12773,7950,1
PO12774,115566.68,1
PO12775,27000,1
PO12789,237312,1
PO12790,22843.939,1
PO12792,2100,1
PO12793,15800,1
PO12795,49411.07,1
PO12796,2190517,1
PO12797,103345,1
PO12798,191819.2,1
PO12799,62825.739,1
PO12800,268302,1
PO12801,30745.454,1
PO12802,1882.4,1
PO12803,3664.7,1
PO12804,2553.97,1
PO12806,1553.349,1
PO12807,18259.483,1
PO12808,5596.758,1
PO12810,11621.956,1
PO12812,16278.441,1
PO12844,29168.282,1
PO12845,65489.42,1
PO12846,66637.141,1
PO12847,67748.256,1
PO12849,16946.182,1
PO12851,76976.64,1
PO12853,85711.565,1
PO12854,11831.68,1
PO12858,51084.618,1
PO12859,16840.534,1
PO12862,194583.338,1
PO12863,66917.854,1
PO12865,179610,1
PO12867,5550000,1
PO12868,2027897.51,1
PO12870,147740,1
PO12871,24670,1
PO12873,24931.437,1
PO12874,282857.6,1
PO12875,7420.075,1
PO12876,22766.4,1
PO12877,59652,1
PO12878,13246.625,1
PO12879,4638.947,1
PO12880,5774,1
PO12881,951.6,1
PO12882,7485,1
PO12883,731609.21,1
PO12884,156609.5,1
PO12885,946.4,1
PO12886,55001.25,1
PO12887,1506970.44,1
PO12890,38561.408,1
PO12891,4387.33,1
PO12892,0,1
PO12893,129682.18,1
PO12894,0,1
PO12895,985.5,1
PO12897,12171.6,1
PO12899,6010.32,1
PO12903,0,1
PO12904,0,1
PO12905,13873.104,1
PO12906,2653.824,1
PO12916,134733.24,1
PO12917,27524.322,1
PO12918,3686.513,1
PO1292,1196173.89,1
PO12920,21177.45,1
PO12921,35111.83,1
PO12922,8019.2,1
PO12923,159918.12,1
PO12925,45359,1
PO12926,22610,1
PO12928,1424,1
PO12929,931199.2,1
PO12930,13331.723,1
PO12931,50814.1,1
PO12932,4659.995,1
PO12933,2408.125,1
PO12935,58618.56,1
PO12937,11144.64,1
PO12938,52405.25,1
PO12939,115193.92,1
PO12940,66585.5,1
PO12941,60597.3,1
PO12942,12870,1
PO12944,14563.286,1
PO12945,44418.862,1
PO12946,21657.681,1
PO12947,25769.971,1
PO12949,36754,1
PO1295,2155.346,1
PO12950,29360,1
PO12951,605149.83,1
PO12952,50761.339,1
PO12953,10146.898,1
PO12954,19152,1
PO12969,613.25,1
PO12970,7200,1
PO12971,108627.691,1
PO1312,65876.8,1
PO13120,25011.78,1
PO13122,5664.182,1
PO13123,4522.508,1
PO13124,12268.8,1
PO13126,362.56,1
PO13127,259105,1
PO13128,4651.2,1
PO13129,366.02,1
PO1313,31900.844,1
PO13130,107935,1
PO13131,400.149,1
PO13132,9330,1
PO13134,276450,1
PO13135,17235.68,1
PO13136,11745,1
PO13137,1028.421,1
PO13138,3359.203,1
PO13139,7874.741,1
PO1314,35795.1,1
PO13146,15180,1
PO13149,17504,1
PO13151,5112,1
PO13152,7520,1
PO13153,1895.047,1
PO13154,7586.811,1
PO13155,81600,1
PO13156,6885,1
PO13158,1512.747,1
PO13160,40294.8,1
PO13161,18276.66,1
PO13162,122865.3,1
PO13167,25619.6,1
PO13168,19916.226,1
PO13169,19927.527,1
PO13170,55742.434,1
PO13171,330920,1
PO13172,24027,1
PO13173,22470,1
PO13174,20907.6,1
PO13175,20284.985,1
PO13176,19986.151,1
PO13177,21529.692,1
PO13178,19768.135,1
PO13179,20005.107,1
PO13180,22620.309,1
PO13181,21011.834,1
PO13187,133035.31,1
PO13188,67222.212,1
PO13189,21341,1
PO13190,7069.74,1
PO13191,1711.932,1
PO13197,978220.25,1
PO132,19500.594,1
PO13200,4416.537,1
PO13201,30160.047,1
PO13202,415.857,1
PO13203,25229.112,1
PO13204,56375.263,1
PO13205,395291.571,1
PO13206,28842.9,1
PO13207,19421.669,1
PO13208,4033.727,1
PO13209,15269.199,1
PO13210,14796.811,1
PO13211,15519.889,1
PO13212,15488.5,1
PO13213,16034.11,1
PO13214,171150,1
PO13215,86728.606,1
PO13216,19547,1
PO13217,24188.831,1
PO13218,2461.982,1
PO13219,26277.299,1
PO13220,23529.18,1
PO13221,7344,1
PO13222,18385.22,1
PO13223,32598.045,1
PO13224,16196.231,1
PO13226,34672.672,1
PO13227,26618.426,1
PO13228,14266.345,1
PO13231,24941.395,1
PO13232,18385.22,1
PO13233,682579.2,1
PO13238,8190,1
PO13239,137738.133,1
PO1324,38295,1
PO13240,161252.5,1
PO13241,140954.76,1
PO13242,4238.251,1
PO13243,4678504.32,1
PO13244,474660,1
PO13245,92799.8,1
PO13246,771.4,1
PO13247,157672.18,1
PO13248,1022284.118,1
PO13249,21202.604,1
PO1325,3168,1
PO13250,46617,1
PO13251,79679.4,1
PO13253,19350,1
PO13254,155034,1
PO13256,10086,1
PO13257,19544,1
PO13258,13035,1
PO1326,9820.8,1
PO13260,52380,1
PO1327,102312,1
PO1328,52449.6,1
PO134,21200.116,1
PO1340,12736.8,1
PO1341,3207.6,1
PO1342,41943,1
PO1343,87214.85,1
PO1344,26228.8,1
PO1347,237418.01,1
PO1349,8303.45,1
PO1350,24496.67,1
PO1351,10875.36,1
PO1352,33265.2,1
PO13521,28075.8,1
PO13525,0,1
PO13527,591415.77,1
PO1353,56053.72,1
PO13538,1538238.3,1
PO13539,365501.9,1
PO1354,6826.4,1
PO13540,44169,1
PO13541,336537.8,1
PO13543,566635.46,1
PO13544,266745.1,1
PO13545,73384.5,1
PO13546,1191180.04,1
PO13548,258757.62,1
PO13549,209493.68,1
PO1355,2969.68,1
PO13550,44923.2,1
PO13551,27133.296,1
PO13552,4038.68,1
PO13553,8643.6,1
PO13554,9514.905,1
PO13555,9142.5,1
PO13556,32704,1
PO13560,7120,1
PO13563,12753,1
PO13564,2166,1
PO13565,1292.45,1
PO13566,31032,1
PO13567,966153.6,1
PO13569,338.537,1
PO1357,31045.1,1
PO13570,374325.06,1
PO13572,3910.566,1
PO13573,5980,1
PO13574,6019.2,1
PO13575,8192.816,1
PO1358,1900.4,1
PO13585,0,1
PO13586,0,1
PO13587,20296.96,1
PO13588,63750,1
PO13589,33702,1
PO1359,22932.85,1
PO13590,0,1
PO13591,10358.16,1
PO13592,17775.6,1
PO13593,971797.92,1
PO13594,40270.702,1
PO13595,99992.655,1
PO13596,54880.985,1
PO13597,157540,1
PO13598,118206.423,1
PO13599,10458.7,1
PO1360,2875.92,1
PO13600,20213,1
PO13601,30598.072,1
PO13602,1288,1
PO13603,70850.5,1
PO13605,164036.6,1
PO13607,1172511.27,1
PO13608,1453870.41,1
PO13609,328043.41,1
PO1361,4356,1
PO13610,8773.281,1
PO13613,32886,1
PO13614,14572.645,1
PO13617,404684.8,1
PO13618,503346.4,1
PO13619,20891.039,1
PO1362,633.96,1
PO13620,19250,1
PO13624,17552,1
PO13625,4441.057,1
PO13626,20333.66,1
PO13627,2684.43,1
PO13628,4166764.8,1
PO1363,973.78,1
PO13630,56160,1
PO13636,11596.69,1
PO13638,12427.905,1
PO1364,353.3,1
PO13640,58850,1
PO13641,31607.5,1
PO13643,483927.17,1
PO13648,42230,1
PO1365,1225,1
PO13650,397489.51,1
PO1366,265.8,1
PO1367,1110.26,1
PO1369,363.56,1
PO137,17500,1
PO1376,6040.508,1
PO1377,7063.067,1
PO1378,18900,1
PO1379,23559.45,1
PO1380,28402.199,1
PO1381,36300,1
PO13828,95961.6,1
PO13829,344520,1
PO13830,117024.66,1
PO13831,1044643.38,1
PO13832,294201.7,1
PO13833,22757,1
PO13834,4672.5,1
PO13835,14553,1
PO13836,0,1
PO13838,8963.852,1
PO13839,4559,1
PO13840,8560,1
PO13842,0,1
PO13843,35499.8,1
PO13844,64524,1
PO13845,4350,1
PO13846,170038,1
PO13848,8682.713,1
PO13849,2128.398,1
PO13853,36404.558,1
PO13854,12945.84,1
PO13856,66501.12,1
PO13857,32290.11,1
PO13858,50895,1
PO13859,7175,1
PO13860,3657.6,1
PO13861,56690.4,1
PO13862,104000,1
PO13863,67667.04,1
PO13865,0,1
PO13866,210610.2,1
PO13867,18840.321,1
PO13869,1350,1
PO13870,27430,1
PO13872,38390,1
PO13878,224368.83,1
PO13895,167700,1
PO13897,25877.28,1
PO13898,212017.06,1
PO139,23507.92,1
PO13902,277040.5,1
PO13903,1458162.26,1
PO13904,2731.901,1
PO13905,2731.901,1
PO13907,7942.5,1
PO13908,29414.277,1
PO13909,27323.12,1
PO13910,59900,1
PO13911,13680,1
PO13913,34375,1
PO13915,30188.2,1
PO13916,34762.56,1
PO13918,25725,1
PO13919,19149.62,1
PO13920,28834.2,1
PO13921,31810,1
PO13924,157864,1
PO13925,31460,1
PO13926,3427.2,1
PO13927,26839.26,1
PO13929,7050,1
PO13930,242039.48,1
PO13933,756.8,1
PO13935,4524.34,1
PO1398,18864.1,1
PO1399,102474.56,1
PO1401,20103.063,1
PO1403,8769.6,1
PO14063,309159.1,1
PO14064,156570.17,1
PO14065,45559.2,1
PO14066,5636.4,1
PO14067,27120,1
PO14068,47217.291,1
PO14069,49135.82,1
PO1407,726150,1
PO14070,683763.6,1
PO14071,1098540.11,1
PO14072,52385.28,1
PO14073,1739043.08,1
PO14074,79995.2,1
PO14076,1090.791,1
PO14077,4050.766,1
PO14078,144859.602,1
PO14079,9971.2,1
PO1408,6688.12,1
PO14081,3895,1
PO14082,77011.2,1
PO14084,1839.6,1
PO14091,87839.93,1
PO14093,7042.74,1
PO14098,1986,1
PO141,17024.696,1
PO1413,4902.929,1
PO1414,7011,1
PO1415,1843.2,1
PO14158,25067.866,1
PO14159,15529.461,1
PO1416,9000,1
PO14164,135756.6,1
PO14167,170892,1
PO1417,13914.8,1
PO14171,2940,1
PO14172,34935,1
PO14173,718.373,1
PO1418,26348,1
PO14180,160286.5,1
PO14181,5334,1
