Discount,Vendor Code,Vendor Name,Vendor,Payment Terms,Deposit Required,Prepay G,Prepay H,Net Days (Due post ERD)
,N-CN-00074 ,"Ninghai Yunmao Industrial Co., Ltd.","N-CN-00074 Ninghai Yunmao Industrial Co., Ltd.",30/70 (Net 30),30%,30%,0%,30
,N-CN-00075 ,"Ningbo Cetus Electric Appliance Co.,Ltd.","N-CN-00075 Ningbo Cetus Electric Appliance Co.,Ltd.",Net 30,0%,0%,0%,30
,N-IN-00001,Nirvana Hammocks Private Limited,N-IN-00001 Nirvana Hammocks Private Limited,30-70 (Net 0),30%,100%,70%,0
,N-US-00009 ,Northstar Group,N-US-00009 Northstar Group,100% Prepay,100%,100%,0%,0
,O-IN-00001 ,Oberoi International,O-IN-00001 Oberoi International,30/70,30%,100%,70%,0
,O-UK-00002,OPM Group,O-UK-00002 OPM Group,NET 30,0%,0%,0%,30
,P-CN-00004 ,"Pretty Arts Products CO., Ltd | Pretty Arts Import & Export Co.,Ltd.","P-CN-00004 Pretty Arts Products CO., Ltd | Pretty Arts Import & Export Co.,Ltd.",30/70 (Net 30),30%,30%,0%,30
,P-DK-00001,Pack Tech A/S (AL Finans AS),P-DK-00001 Pack Tech A/S (AL Finans AS),50/50 (Net 30),50%,50%,0%,30
,P-HK-00002 ,Pengxin Enterprises Inc. Saipan USA LTD,P-HK-00002 Pengxin Enterprises Inc. Saipan USA LTD,30/70,30%,100%,70%,0
,P-IN-00001 ,Polco Creations Pvt. Ltd.,P-IN-00001 Polco Creations Pvt. Ltd.,Net 30,0%,0%,0%,30
,P-UK-00007,Professional Beauty Systems ltd,P-UK-00007 Professional Beauty Systems ltd,100% Prepay,0%,100%,0%,0
,P-US-00001 ,Pioneer Printing,P-US-00001 Pioneer Printing,100% Before Shipment,0%,0%,0%,0
,P-US-00017,Robert Colletti,P-US-00017 Robert Colletti,30/70 (Net 30),30%,30%,0%,30
,P-US-00017 ,Packaging Upgraded LLC,P-US-00017 Packaging Upgraded LLC,Net 30,0%,0%,0%,30
,P-US-00018,PCI Inc.,P-US-00018 PCI Inc.,50/50 (Net 30),50%,50%,0%,30
,P-US-00018,PCI Manufacturing LLC,P-US-00018 PCI Manufacturing LLC,50/50 (Net 30),50%,50%,0%,30
,Q-CN-00024,Qingdao Pafic,Q-CN-00024 Qingdao Pafic,Net 30,0%,0%,0%,30
,Q-CN-00031 ,"Qingdao Easylife Housewares Co., Ltd","Q-CN-00031 Qingdao Easylife Housewares Co., Ltd",30-70 (Net 0),30%,100%,70%,0
,Q-CN-00032 ,"Quzhou Sanhe Outdoor Equipment Technology Co., LTD","Q-CN-00032 Quzhou Sanhe Outdoor Equipment Technology Co., LTD",Net 30,0%,0%,0%,30
,Q-PK-00001 ,QST International,Q-PK-00001 QST International,Net 30,0%,0%,0%,30
,QST Interna,tional,QST International,Net 30,0%,0%,0%,30
,R-CN-00037,"Riverhobby Tech. (Shenzhen) Co., Ltd.","R-CN-00037 Riverhobby Tech. (Shenzhen) Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,R-UK-00003 ,Recycled Packaging Ltd / ACC Packaging Ltd.,R-UK-00003 Recycled Packaging Ltd / ACC Packaging Ltd.,NET 30,0%,0%,0%,30
,S-CN-00003,"Shenzhen Sinowin Wine Accessories Co., Ltd.","S-CN-00003 Shenzhen Sinowin Wine Accessories Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,S-CN-00015,"Shanghai Zhensheng Sports Goods Co.,Ltd","S-CN-00015 Shanghai Zhensheng Sports Goods Co.,Ltd",Net 30,0%,0%,0%,30
,S-CN-00017 ,"Suzhou Pinotec Co., Ltd.","S-CN-00017 Suzhou Pinotec Co., Ltd.",Net 30,0%,0%,0%,30
,S-CN-00020 ,"Shanghai HiFly Industry Co.,Ltd","S-CN-00020 Shanghai HiFly Industry Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,S-CN-00024 ,Suzhou Dobetter Trading Co Ltd,S-CN-00024 Suzhou Dobetter Trading Co Ltd,30-70 (Net 0),30%,100%,70%,0
,S-CN-00029 ,"SHENZHEN HOSTWEIGH ELECTRONIC TECHNOLOGY CO.,LTD","S-CN-00029 SHENZHEN HOSTWEIGH ELECTRONIC TECHNOLOGY CO.,LTD",30-70 (Net 0),30%,100%,70%,0
,S-CN-00042 ,Sanvast International Inc,S-CN-00042 Sanvast International Inc,30-70 (Net 0),30%,100%,70%,0
,S-CN-00053 ,"SUZHOU K-SHIBU IMPORT&EXPORT CO.,LTD","S-CN-00053 SUZHOU K-SHIBU IMPORT&EXPORT CO.,LTD",Net 30,0%,0%,0%,30
,S-CN-00059 ,"Shenzhen Security Group Corp., Ltd","S-CN-00059 Shenzhen Security Group Corp., Ltd",40-60 (Net 0),40%,100%,60%,0
,S-CN-00061 ,"SUZHOU KUDI TRADE CO.,LTD","S-CN-00061 SUZHOU KUDI TRADE CO.,LTD",Net 30,0%,0%,0%,30
,S-CN-00067,Shanghai Toptzon International Industry Co Ltd,S-CN-00067 Shanghai Toptzon International Industry Co Ltd,,,,0%,
,S-CN-00071 ,SundyArt,S-CN-00071 SundyArt,30-70 (Net 0),30%,100%,70%,0
,S-CN-00078,"SOHOT Electrical Appliances Co., Ltd","S-CN-00078 SOHOT Electrical Appliances Co., Ltd",NET 30,0%,0%,0%,30
,S-CN-00079 ,Shenzhen Bolesic,S-CN-00079 Shenzhen Bolesic,20-80 (0),15%,85%,0%,0
,S-CN-00081 ,Shenzhen Jinhao Color Printing,S-CN-00081 Shenzhen Jinhao Color Printing,Net 30,0%,0%,0%,30
,S-CN-00082 ,Shenzhen W Color Printing/Cards,S-CN-00082 Shenzhen W Color Printing/Cards,Net 30,0%,0%,0%,30
,S-CN-00083,"Suzhou Youheng Rubber and Plastic Co., Ltd.  (U-High)","S-CN-00083 Suzhou Youheng Rubber and Plastic Co., Ltd.  (U-High)",30/70 (Net 30),30%,30%,0%,30
,S-CN-00083 ,"Suzhou Youheng Rubber and Plastic Co., Ltd. (U-High)","S-CN-00083 Suzhou Youheng Rubber and Plastic Co., Ltd. (U-High)",30/70 (Net 30),30%,30%,0%,30
,S-CN-00085,"Shenzhen YYR Technology Co., Ltd.","S-CN-00085 Shenzhen YYR Technology Co., Ltd.",30/70,30%,100%,70%,0
,S-CN-00085 ,"Shenzhen YYR Technology Co., Ltd.","S-CN-00085 Shenzhen YYR Technology Co., Ltd.",30/70,30%,100%,70%,0
,S-CN-00086 ,"Shenzhen Easter Technology Co., Ltd","S-CN-00086 Shenzhen Easter Technology Co., Ltd",50/50 (Net 0),50%,100%,50%,0
,S-CN-00089 ,"Dongguan Aimei silicone products Co.,Ltd","S-CN-00089 Dongguan Aimei silicone products Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,S-CN-00090,Shenzhen An Bi Chang Packaging Material Co. Ltd.,S-CN-00090 Shenzhen An Bi Chang Packaging Material Co. Ltd.,30-70 (Net 0),30%,100%,70%,0
,S-CN-00093 ,Secozoom,S-CN-00093 Secozoom,30-70 (Net 0),30%,100%,70%,0
,S-CN-00097,Sunrise,S-CN-00097 Sunrise,40-60 (Net 0),40%,100%,60%,0
,S-CN-00108,"Shanghai Wenshan lndustrial Co.,Ltd","S-CN-00108 Shanghai Wenshan lndustrial Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,S-CN-00110 ,"Suzhou East-Start Musical Instruments Co., Ltd","S-CN-00110 Suzhou East-Start Musical Instruments Co., Ltd",30-70 (Net 0),30%,100%,70%,0
,S-CN-00127 ,"Sincere Technology Co.,Limited","S-CN-00127 Sincere Technology Co.,Limited",30-70 (Net 0),30%,100%,70%,0
,S-CN-00138,"Shandong Yesheng Glass Co.,Ltd","S-CN-00138 Shandong Yesheng Glass Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,S-CN-00150 ,"SHENZHEN Valueplus2 ELECTRONIC CORP.,LTD","S-CN-00150 SHENZHEN Valueplus2 ELECTRONIC CORP.,LTD",30/70 (Net 30),30%,30%,0%,30
,S-CN-00150 ,"SHENZHEN Valueplus2  ELECTRONIC CORP.,LTD","S-CN-00150 SHENZHEN Valueplus2  ELECTRONIC CORP.,LTD",30/70 (Net 30),30%,30%,0%,30
,S-CN-00151 ,"Shaoxing DL Healthcare Co., Ltd","S-CN-00151 Shaoxing DL Healthcare Co., Ltd",30-70 (Net 0),30%,100%,70%,0
