As Of Date,Coordinator,Brand,Whse Internal ID,Warehouse,Seller Account,Amazon Store Name,Supplier,Status,PO #,Memo,Date Entered,ESTIMATED READY DATE,PO Line No.,ASIN,SKU,Assembly SKU,Description,Quantity,Cost in USD,Cost in PO Currency,Currency,Estimated Ready Date / ERD,Early Pickup date,Late Pickup Date,Earliest Delivery Date,LATEST DELIVERY DATE,Quantity Received,Quantity on Inbound Shipments,Supplier Shipping Country Code,Supplier Billing Country Code,Supplier Ship From Country Code (From PO),Closed,Custom Form,XPO Integration Status,Outbound Doc Sent to XPO Connect,Send to XPO Connect,ID,Destination Type,INCOTERM,ARN#,FBA Shipment ID#,3PL FCID#
4/17/2025 19:03,Elaine Guo,DMD,1221,Amazon US,DMD US,DMD_US,"Wuxi JHT Homewares Co., LTD",Pending Bill,PO65756,Nov Purchase Instructions 2024,11/25/2024 23:41,,1,B079RZF425,DMD-HOK-PrBdSht-QIcblu,,6 Piece Premium Bed Sheets Queen Artic Ice Blue,384,6.11,6.11,USD,1/16/2025,1/17/2025,1/24/2025,1/25/2025,2/10/2025,384,384,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,5AVF4JRO,FBA18P6VL04K,ONT6
4/17/2025 19:03,Elaine Guo,DMD,1221,Amazon US,DMD US,DMD_US,"Wuxi JHT Homewares Co., LTD",Pending Bill,PO65756,Nov Purchase Instructions 2024,11/25/2024 23:41,,2,B079SDCQP1,DMD-HOK-PrBdSht-FIcblu,,6 Piece Premium Bed Sheets Full Artic Ice Blue,204,5.74,5.74,USD,1/16/2025,1/17/2025,1/24/2025,1/25/2025,2/10/2025,204,204,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,5AVF4JRO,FBA18P6VL04K,ONT6
4/17/2025 19:03,Elaine Guo,DMD,1221,Amazon US,DMD US,DMD_US,"Wuxi JHT Homewares Co., LTD",Pending Bill,PO65756,Nov Purchase Instructions 2024,11/25/2024 23:41,,3,B09DHCRWXQ,DMD-HOK-PrBdSht-KLtGry,,6 Piece Premium Bed Sheets King Light Gray,870,6.96,6.96,USD,1/16/2025,1/17/2025,1/24/2025,1/25/2025,2/10/2025,870,870,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,5AVF4JRO,FBA18P6VL04K,ONT6
4/17/2025 19:03,Elaine Guo,DMD,1221,Amazon US,DMD US,DMD_US,"Wuxi JHT Homewares Co., LTD",Pending Bill,PO65756,Nov Purchase Instructions 2024,11/25/2024 23:41,,4,B09DH98VFF,DMD-HOK-6BdQnLGry,,6 Piece Premium Bed Sheets Queen Light Gray,1716,6.11,6.11,USD,1/16/2025,1/17/2025,1/24/2025,1/25/2025,2/10/2025,1716,1716,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,5AVF4JRO,FBA18P6VL04K,ONT6
4/17/2025 19:03,Elaine Guo,DMD,1221,Amazon US,DMD US,DMD_US,"Wuxi JHT Homewares Co., LTD",Pending Bill,PO65756,Nov Purchase Instructions 2024,11/25/2024 23:41,,5,B09DGTR2FG,DMD-HOK-PrBdSht-KSpBlu,,6 Piece Premium Bed Sheets King Spa Blue,990,6.96,6.96,USD,1/16/2025,1/17/2025,1/24/2025,1/25/2025,2/10/2025,990,990,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,5AVF4JRO,FBA18P6VL04K,ONT6
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Moncanol - ZHEJIANG MONCANOL HOME TEXTILES CO., LTD.",Pending Bill,PO65755,Nov Purchase Instructions 2024,11/25/2024 23:07,,1,B0779FRLJX,BKY-HOK-CmftF-GRY,,Beckham 1600 Alternative Comforter Full/Queen Slate Gray,1005,7.39,7.39,USD,1/19/2025,1/20/2025,1/27/2025,1/28/2025,1/31/2025,1005,1005,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,M-CN-00003,AMZ,FOB,2BNIDDXM,FBA18TBV6FF9,ONT6
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Moncanol - ZHEJIANG MONCANOL HOME TEXTILES CO., LTD.",Pending Bill,PO65755,Nov Purchase Instructions 2024,11/25/2024 23:07,,2,B0773RHW18,BKY-HOK-BKHComft1600-TwnSBlu,,Beckham 1600 Alternative Comforter Twin Sky Blue,504,6.6,6.6,USD,1/19/2025,1/20/2025,1/27/2025,1/28/2025,1/31/2025,504,504,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,M-CN-00003,AMZ,FOB,2BNIDDXM,FBA18TBV6FF9,ONT6
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Winshow Industrial Ltd,Pending Bill,PO65754,Component for New Launch at Retail,11/25/2024 22:44,,1,N/A,HS-COMP-MSSHSLV-RT,,Miss Mouth's Messy Stepper 4oz Shrink Sleeve - Retail (new UPC),32894,0.03,0.03,USD,12/26/2024,12/27/2024,1/3/2025,1/4/2025,,32894,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00030,,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Winshow Industrial Ltd,Pending Bill,PO65754,Component for New Launch at Retail,11/25/2024 22:44,,2,N/A,SLEEVE-MM-120ml-RETAIL,,Miss Mouth's Stain Treater Shrink Sleeve - Retail (Stuff Happens),33334,0.03,0.03,USD,12/26/2024,12/27/2024,1/3/2025,1/4/2025,,33334,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00030,,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",,,"Wepackit,Inc.",Partially Received,PO65752,Replen run of 2pk Pens- MM,11/25/2024 13:08,,1,,THS-COMP-FILKIT-OsCost,THS-HHS-STNRVPN-2P,Labor sku for filling and kitting the stain removing pen,2850,0.96,0.96,USD,12/5/2024,,,,,2732,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,W-US-00011,3PL,EXW,,,
